# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.22803 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218102e-05       6.931427740165e+04 
       1.311872312412e-05       3.344941415644e+04 
       1.651549391125e-05       1.587745486092e+04 
       2.079177497321e-05       7.297382987869e+03 
       2.617529387008e-05       3.185177837709e+03 
       3.295274261422e-05       1.262960506927e+03 
       4.148504506535e-05       4.119031897173e+02 
       5.222657744220e-05       8.064154946782e+01 
       6.574936551302e-05       1.436451954320e-01 
       8.277354705369e-05       4.087001935858e+01 
       1.042057218102e-04       1.427433325967e+02 
       1.311872312412e-04       2.800521313067e+02 
       1.651549391125e-04       4.446818264517e+02 
       2.079177497321e-04       6.373224685345e+02 
       2.617529387008e-04       8.639259748656e+02 
       3.295274261422e-04       1.133696221772e+03 
       4.148504506535e-04       1.458652663943e+03 
       5.222657744220e-04       1.853456979720e+03 
       6.574936551302e-04       2.335478343519e+03 
       8.277354705369e-04       2.925012324540e+03 
       1.042057218102e-03       3.645239763558e+03 
       1.311872312412e-03       4.521789147870e+03 
       1.651549391125e-03       5.606400558154e+03 
       2.079177497321e-03       6.924337651880e+03 
       2.617529387008e-03       8.507089078631e+03 
       3.295274261422e-03       1.038053685289e+04 
       4.148504506535e-03       1.255636654451e+04 
       5.222657744220e-03       1.502106211433e+04 
       6.574936551302e-03       1.772121764580e+04 
       8.277354705369e-03       2.054463786649e+04 
       1.042057218102e-02       2.329741382339e+04 
       1.311872312412e-02       2.568029774330e+04 
       1.651549391123e-02       2.727859552480e+04 
       2.079177480902e-02       2.760532548025e+04 
       2.617516859043e-02       2.627683710571e+04 
       3.293536922905e-02       2.338176753960e+04 
       4.090589050134e-02       2.000293769506e+04 
       4.763401385629e-02       1.790956492660e+04 
       5.251198585856e-02       1.686231328415e+04 
       5.653323776304e-02       1.622264962478e+04 
       6.012300917384e-02       1.575762070153e+04 
       6.347073228663e-02       1.536465442003e+04 
       6.667661458478e-02       1.498860665156e+04 
       6.980071689587e-02       1.459711242384e+04 
       7.288247896440e-02       1.417175782871e+04 
       7.594968979709e-02       1.370409406832e+04 
       7.902307790138e-02       1.319401127292e+04 
       8.211886128206e-02       1.264801673923e+04 
       8.525025809218e-02       1.207788822029e+04 
       8.842842884228e-02       1.149932376732e+04 
       9.166308924276e-02       1.093004368913e+04 
       9.496292283059e-02       1.038761017559e+04 
       9.833586684249e-02       9.887913367183e+03 
       1.017893149813e-01       9.442961522927e+03 
       1.053302639979e-01       9.060082499197e+03 
       1.089654212480e-01       8.740281355489e+03 
       1.127012844925e-01       8.478286108434e+03 
       1.165442015434e-01       8.262595747335e+03 
       1.205004150311e-01       8.076345071221e+03 
       1.245760960540e-01       7.899157464310e+03 
       1.287773694786e-01       7.710120804818e+03 
       1.331103329953e-01       7.491668381717e+03 
       1.375810715977e-01       7.232236589826e+03 
       1.421956688589e-01       6.932088887370e+03 
       1.469602161865e-01       6.600843647239e+03 
       1.518808211126e-01       6.257079262622e+03 
       1.569636155974e-01       5.923721303220e+03 
       1.622147652718e-01       5.622731447789e+03 
       1.676404805174e-01       5.368501405033e+03 
       1.732470302593e-01       5.164847491571e+03 
       1.790407593351e-01       5.002973340884e+03 
       1.850281102957e-01       4.864859785719e+03 
       1.912156504883e-01       4.727028387476e+03 
       1.976101052732e-01       4.567354514083e+03 
       2.042183982440e-01       4.376641630678e+03 
       2.110476993484e-01       4.162181152863e+03 
       2.181054818664e-01       3.943049248312e+03 
       2.253995893023e-01       3.739879529460e+03 
       2.329383133893e-01       3.567144088340e+03 
       2.407304846266e-01       3.427679064319e+03 
       2.487855770694e-01       3.309845758384e+03 
       2.571138295113e-01       3.194381159411e+03 
       2.657263857617e-01       3.066412056745e+03 
       2.746354574680e-01       2.923244302191e+03 
       2.838545139315e-01       2.775484443535e+03 
       2.933985046705e-01       2.639581161194e+03 
       3.032841222318e-01       2.523716913961e+03 
       3.135301150627e-01       2.423086131822e+03 
       3.241576633671e-01       2.325727169248e+03 
       3.351908350883e-01       2.222084212936e+03 
       3.466571449459e-01       2.114257805432e+03 
       3.585882475009e-01       2.011196225327e+03 
       3.710208065771e-01       1.919166749981e+03 
       3.839975996327e-01       1.834580892194e+03 
       3.975689393974e-01       1.750166806189e+03 
       4.117945303102e-01       1.664149762388e+03 
       4.267459306741e-01       1.581038228768e+03 
       4.425098741393e-01       1.503503297507e+03 
       4.591928354175e-01       1.429209104845e+03 
       4.769274392898e-01       1.354773126022e+03 
       4.958816720127e-01       1.281634666425e+03 
       5.162724804240e-01       1.211676623206e+03 
       5.383864755784e-01       1.142435013954e+03 
       5.626125930007e-01       1.073466801299e+03 
       5.894957944747e-01       1.005428189681e+03 
       6.198297704727e-01       9.367854293211e+02 
       6.548264182221e-01       8.671652737588e+02 
       6.964472715296e-01       7.951564127317e+02 
       7.481033660966e-01       7.191749320005e+02 
       8.162523316128e-01       6.364853539053e+02 
       9.141723075125e-01       5.433625504268e+02 
       1.068975860204e+00       4.373384380064e+02 
       1.315461124263e+00       3.289159225397e+02 
       1.653289598671e+00       2.414446236027e+02 
       2.081315325329e+00       1.778395980074e+02 
       2.620220555001e+00       1.317812154146e+02 
       3.298662241091e+00       9.825768096950e+01 
       4.152769720235e+00       7.371364984754e+01 
       5.228027330134e+00       5.562711141593e+01 
