# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.22803 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218102e-05       7.781465784382e+04 
       1.311872312412e-05       3.752349625392e+04 
       1.651549391125e-05       1.775067896815e+04 
       2.079177497321e-05       8.187894299361e+03 
       2.617529387008e-05       3.580364365505e+03 
       3.295274261422e-05       1.418184024334e+03 
       4.148504506535e-05       4.607357987646e+02 
       5.222657744220e-05       9.039859293359e+01 
       6.574936551302e-05       1.610782593989e-01 
       8.277354705369e-05       4.584744145155e+01 
       1.042057218102e-04       1.600749681418e+02 
       1.311872312412e-04       3.142443422343e+02 
       1.651549391125e-04       4.989704826553e+02 
       2.079177497321e-04       7.151204676146e+02 
       2.617529387008e-04       9.694260732548e+02 
       3.295274261422e-04       1.272179768565e+03 
       4.148504506535e-04       1.636830863389e+03 
       5.222657744220e-04       2.079858588577e+03 
       6.574936551302e-04       2.620767994391e+03 
       8.277354705369e-04       3.282323462317e+03 
       1.042057218102e-03       4.090540416661e+03 
       1.311872312412e-03       5.074168044425e+03 
       1.651549391125e-03       6.291278815055e+03 
       2.079177497321e-03       7.770221826491e+03 
       2.617529387008e-03       9.546329179351e+03 
       3.295274261422e-03       1.164864008448e+04 
       4.148504506535e-03       1.409027842242e+04 
       5.222657744220e-03       1.685594428286e+04 
       6.574936551302e-03       1.988597148232e+04 
       8.277354705369e-03       2.305284142627e+04 
       1.042057218102e-02       2.614116527557e+04 
       1.311872312412e-02       2.881581401580e+04 
       1.651549391123e-02       3.061029399381e+04 
       2.079177480902e-02       3.097330843765e+04 
       2.617516859043e-02       2.948478131782e+04 
       3.293536922905e-02       2.623575884939e+04 
       4.090589050134e-02       2.244407122842e+04 
       4.763401385629e-02       2.009526945491e+04 
       5.251198585856e-02       1.892000919975e+04 
       5.653323776304e-02       1.820292730313e+04 
       6.012300917384e-02       1.768102153957e+04 
       6.347073228663e-02       1.724028565211e+04 
       6.667661458478e-02       1.681796418726e+04 
       6.980071689587e-02       1.637847563524e+04 
       7.288247896440e-02       1.590140905315e+04 
       7.594968979709e-02       1.537694323990e+04 
       7.902307790138e-02       1.480461895945e+04 
       8.211886128206e-02       1.419126280131e+04 
       8.525025809218e-02       1.355160977292e+04 
       8.842842884228e-02       1.290306434208e+04 
       9.166308924276e-02       1.226357809405e+04 
       9.496292283059e-02       1.165530879568e+04 
       9.833586684249e-02       1.109488659622e+04 
       1.017893149813e-01       1.059567314237e+04 
       1.053302639979e-01       1.016585218825e+04 
       1.089654212480e-01       9.807244279650e+03 
       1.127012844925e-01       9.513237087924e+03 
       1.165442015434e-01       9.270982167373e+03 
       1.205004150311e-01       9.061938997657e+03 
       1.245760960540e-01       8.862901466533e+03 
       1.287773694786e-01       8.650884076182e+03 
       1.331103329953e-01       8.405704095240e+03 
       1.375810715977e-01       8.115231605539e+03 
       1.421956688589e-01       7.778172079711e+03 
       1.469602161865e-01       7.406612527291e+03 
       1.518808211126e-01       7.020609944046e+03 
       1.569636155974e-01       6.646753226770e+03 
       1.622147652718e-01       6.308845097519e+03 
       1.676404805174e-01       6.023319517311e+03 
       1.732470302593e-01       5.795343379654e+03 
       1.790407593351e-01       5.613305531509e+03 
       1.850281102957e-01       5.458707899425e+03 
       1.912156504883e-01       5.303800494145e+03 
       1.976101052732e-01       5.124856372502e+03 
       2.042183982440e-01       4.910881966501e+03 
       2.110476993484e-01       4.670220922011e+03 
       2.181054818664e-01       4.424243890593e+03 
       2.253995893023e-01       4.196246571190e+03 
       2.329383133893e-01       4.002601688569e+03 
       2.407304846266e-01       3.846082464416e+03 
       2.487855770694e-01       3.713764104191e+03 
       2.571138295113e-01       3.584326896597e+03 
       2.657263857617e-01       3.440608496784e+03 
       2.746354574680e-01       3.279974438768e+03 
       2.838545139315e-01       3.114509428543e+03 
       2.933985046705e-01       2.961767356566e+03 
       3.032841222318e-01       2.831711307165e+03 
       3.135301150627e-01       2.718789909827e+03 
       3.241576633671e-01       2.609470018806e+03 
       3.351908350883e-01       2.493183693672e+03 
       3.466571449459e-01       2.372349279487e+03 
       3.585882475009e-01       2.256712446023e+03 
       3.710208065771e-01       2.153447688313e+03 
       3.839975996327e-01       2.058493466245e+03 
       3.975689393974e-01       1.963766037416e+03 
       4.117945303102e-01       1.867296623482e+03 
       4.267459306741e-01       1.774047412928e+03 
       4.425098741393e-01       1.686984689109e+03 
       4.591928354175e-01       1.603645566206e+03 
       4.769274392898e-01       1.520153699137e+03 
       4.958816720127e-01       1.438039898751e+03 
       5.162724804240e-01       1.359593288098e+03 
       5.383864755784e-01       1.281895002300e+03 
       5.626125930007e-01       1.204547439882e+03 
       5.894957944747e-01       1.128166371393e+03 
       6.198297704727e-01       1.051143846194e+03 
       6.548264182221e-01       9.730251213234e+02 
       6.964472715296e-01       8.922258946658e+02 
       7.481033660966e-01       8.069685515526e+02 
       8.162523316128e-01       7.141850268168e+02 
       9.141723075125e-01       6.096937283464e+02 
       1.068975860204e+00       4.907265206641e+02 
       1.315461124263e+00       3.690681259610e+02 
       1.653289598671e+00       2.709187332882e+02 
       2.081315325329e+00       1.995493661462e+02 
       2.620220555001e+00       1.478684012684e+02 
       3.298662241091e+00       1.102524328225e+02 
       4.152769720235e+00       8.271225362902e+01 
       5.228027330134e+00       6.242188799543e+01 
