# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.22803 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218102e-05       6.937383476833e+04 
       1.311872312412e-05       3.348427452617e+04 
       1.651549391125e-05       1.587204966617e+04 
       2.079177497321e-05       7.299437395927e+03 
       2.617529387008e-05       3.183664319243e+03 
       3.295274261422e-05       1.262464232471e+03 
       4.148504506535e-05       4.115310981064e+02 
       5.222657744220e-05       8.055759117296e+01 
       6.574936551302e-05       1.383661054313e-01 
       8.277354705369e-05       4.086339215086e+01 
       1.042057218102e-04       1.426657721629e+02 
       1.311872312412e-04       2.800068287815e+02 
       1.651549391125e-04       4.446225412985e+02 
       2.079177497321e-04       6.373165701219e+02 
       2.617529387008e-04       8.639117297064e+02 
       3.295274261422e-04       1.133696951441e+03 
       4.148504506535e-04       1.458661828578e+03 
       5.222657744220e-04       1.853455388048e+03 
       6.574936551302e-04       2.335486221910e+03 
       8.277354705369e-04       2.925026896932e+03 
       1.042057218102e-03       3.645260685399e+03 
       1.311872312412e-03       4.521814394124e+03 
       1.651549391125e-03       5.606446824817e+03 
       2.079177497321e-03       6.924429539722e+03 
       2.617529387008e-03       8.507261039455e+03 
       3.295274261422e-03       1.038086627841e+04 
       4.148504506535e-03       1.255698361204e+04 
       5.222657744220e-03       1.502219157809e+04 
       6.574936551302e-03       1.772328117726e+04 
       8.277354705369e-03       2.054829607151e+04 
       1.042057218102e-02       2.330369177418e+04 
       1.311872312412e-02       2.569069937067e+04 
       1.651549391123e-02       2.729446583328e+04 
       2.079177480902e-02       2.762822780413e+04 
       2.617516859043e-02       2.630707971895e+04 
       3.293536922905e-02       2.341780747283e+04 
       4.090589050134e-02       2.004260152326e+04 
       4.763401385629e-02       1.795185957130e+04 
       5.251198585856e-02       1.690711948729e+04 
       5.653323776304e-02       1.626994602741e+04 
       6.012300917384e-02       1.580735677915e+04 
       6.347073228663e-02       1.541657789723e+04 
       6.667661458478e-02       1.504248707831e+04 
       6.980071689587e-02       1.465259200233e+04 
       7.288247896440e-02       1.422842252911e+04 
       7.594968979709e-02       1.376151060862e+04 
       7.902307790138e-02       1.325164718786e+04 
       8.211886128206e-02       1.270532883561e+04 
       8.525025809218e-02       1.213449215382e+04 
       8.842842884228e-02       1.155493675759e+04 
       9.166308924276e-02       1.098445002523e+04 
       9.496292283059e-02       1.044083211300e+04 
       9.833586684249e-02       9.940045139114e+03 
       1.017893149813e-01       9.494355033228e+03 
       1.053302639979e-01       9.110954525815e+03 
       1.089654212480e-01       8.791038342430e+03 
       1.127012844925e-01       8.529337809932e+03 
       1.165442015434e-01       8.314262295841e+03 
       1.205004150311e-01       8.128868339700e+03 
       1.245760960540e-01       7.952635128875e+03 
       1.287773694786e-01       7.763773553937e+03 
       1.331103329953e-01       7.545505717172e+03 
       1.375810715977e-01       7.286303077866e+03 
       1.421956688589e-01       6.985431057955e+03 
       1.469602161865e-01       6.652854201628e+03 
       1.518808211126e-01       6.307519282269e+03 
       1.569636155974e-01       5.972635477321e+03 
       1.622147652718e-01       5.670238746584e+03 
       1.676404805174e-01       5.415182607905e+03 
       1.732470302593e-01       5.211133219258e+03 
       1.790407593351e-01       5.049299307852e+03 
       1.850281102957e-01       4.911626110061e+03 
       1.912156504883e-01       4.774117060356e+03 
       1.976101052732e-01       4.614367821164e+03 
       2.042183982440e-01       4.422992907538e+03 
       2.110476993484e-01       4.207388752889e+03 
       2.181054818664e-01       3.986880705960e+03 
       2.253995893023e-01       3.782426231709e+03 
       2.329383133893e-01       3.608820897813e+03 
       2.407304846266e-01       3.468919031236e+03 
       2.487855770694e-01       3.351015375563e+03 
       2.571138295113e-01       3.235434959695e+03 
       2.657263857617e-01       3.107014570570e+03 
       2.746354574680e-01       2.962978823496e+03 
       2.838545139315e-01       2.814118907649e+03 
       2.933985046705e-01       2.677244754338e+03 
       3.032841222318e-01       2.560746319364e+03 
       3.135301150627e-01       2.459745303932e+03 
       3.241576633671e-01       2.362001631053e+03 
       3.351908350883e-01       2.257731013822e+03 
       3.466571449459e-01       2.149066355388e+03 
       3.585882475009e-01       2.045197251425e+03 
       3.710208065771e-01       1.952548471501e+03 
       3.839975996327e-01       1.867452968820e+03 
       3.975689393974e-01       1.782464160333e+03 
       4.117945303102e-01       1.695735653769e+03 
       4.267459306741e-01       1.611920061222e+03 
       4.425098741393e-01       1.533767244690e+03 
       4.591928354175e-01       1.458879261208e+03 
       4.769274392898e-01       1.383781795136e+03 
       4.958816720127e-01       1.309958393472e+03 
       5.162724804240e-01       1.239360248624e+03 
       5.383864755784e-01       1.169449807517e+03 
       5.626125930007e-01       1.099778479802e+03 
       5.894957944747e-01       1.031034833445e+03 
       6.198297704727e-01       9.616426735817e+02 
       6.548264182221e-01       8.912360467900e+02 
       6.964472715296e-01       8.183715518985e+02 
       7.481033660966e-01       7.414421707002e+02 
       8.162523316128e-01       6.576593800393e+02 
       9.141723075125e-01       5.632121609804e+02 
       1.068975860204e+00       4.555329695342e+02 
       1.315461124263e+00       3.452044596584e+02 
       1.653289598671e+00       2.559722975893e+02 
       2.081315325329e+00       1.909044442357e+02 
       2.620220555001e+00       1.436457503074e+02 
       3.298662241091e+00       1.091420944731e+02 
       4.152769720235e+00       8.380369465878e+01 
       5.228027330134e+00       6.507700027517e+01 
