# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.22803 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218102e-05       6.937220338825e+04 
       1.311872312412e-05       3.348647842271e+04 
       1.651549391125e-05       1.587207508621e+04 
       2.079177497321e-05       7.297961082183e+03 
       2.617529387008e-05       3.184614370638e+03 
       3.295274261422e-05       1.262309556514e+03 
       4.148504506535e-05       4.114595236138e+02 
       5.222657744220e-05       8.058764598635e+01 
       6.574936551302e-05       1.405684487747e-01 
       8.277354705369e-05       4.084102308575e+01 
       1.042057218102e-04       1.426467348813e+02 
       1.311872312412e-04       2.799947311086e+02 
       1.651549391125e-04       4.446259208048e+02 
       2.079177497321e-04       6.373074385219e+02 
       2.617529387008e-04       8.639107610177e+02 
       3.295274261422e-04       1.133694099682e+03 
       4.148504506535e-04       1.458660435361e+03 
       5.222657744220e-04       1.853464912801e+03 
       6.574936551302e-04       2.335491211729e+03 
       8.277354705369e-04       2.925023636165e+03 
       1.042057218102e-03       3.645261932908e+03 
       1.311872312412e-03       4.521814855647e+03 
       1.651549391125e-03       5.606450294170e+03 
       2.079177497321e-03       6.924429181074e+03 
       2.617529387008e-03       8.507260660025e+03 
       3.295274261422e-03       1.038086445659e+04 
       4.148504506535e-03       1.255698535869e+04 
       5.222657744220e-03       1.502219067292e+04 
       6.574936551302e-03       1.772327560040e+04 
       8.277354705369e-03       2.054829823045e+04 
       1.042057218102e-02       2.330369009551e+04 
       1.311872312412e-02       2.569069990650e+04 
       1.651549391123e-02       2.729447404669e+04 
       2.079177480902e-02       2.762824474599e+04 
       2.617516859043e-02       2.630710877128e+04 
       3.293536922905e-02       2.341778682764e+04 
       4.090589050134e-02       2.004259182599e+04 
       4.763401385629e-02       1.795185371501e+04 
       5.251198585856e-02       1.690712599639e+04 
       5.653323776304e-02       1.626994895196e+04 
       6.012300917384e-02       1.580733830963e+04 
       6.347073228663e-02       1.541658489227e+04 
       6.667661458478e-02       1.504247134661e+04 
       6.980071689587e-02       1.465257386689e+04 
       7.288247896440e-02       1.422841751106e+04 
       7.594968979709e-02       1.376150946408e+04 
       7.902307790138e-02       1.325164751657e+04 
       8.211886128206e-02       1.270532449935e+04 
       8.525025809218e-02       1.213449594435e+04 
       8.842842884228e-02       1.155493986867e+04 
       9.166308924276e-02       1.098444136458e+04 
       9.496292283059e-02       1.044084174902e+04 
       9.833586684249e-02       9.940047213101e+03 
       1.017893149813e-01       9.494353887613e+03 
       1.053302639979e-01       9.110954190310e+03 
       1.089654212480e-01       8.791038031814e+03 
       1.127012844925e-01       8.529343700071e+03 
       1.165442015434e-01       8.314261297283e+03 
       1.205004150311e-01       8.128879099842e+03 
       1.245760960540e-01       7.952633428298e+03 
       1.287773694786e-01       7.763772945975e+03 
       1.331103329953e-01       7.545509537127e+03 
       1.375810715977e-01       7.286300144127e+03 
       1.421956688589e-01       6.985431362787e+03 
       1.469602161865e-01       6.652853077224e+03 
       1.518808211126e-01       6.307514420124e+03 
       1.569636155974e-01       5.972641855379e+03 
       1.622147652718e-01       5.670220056141e+03 
       1.676404805174e-01       5.415184666513e+03 
       1.732470302593e-01       5.211131326377e+03 
       1.790407593351e-01       5.049295234128e+03 
       1.850281102957e-01       4.911615222114e+03 
       1.912156504883e-01       4.774118215525e+03 
       1.976101052732e-01       4.614352308189e+03 
       2.042183982440e-01       4.422994128900e+03 
       2.110476993484e-01       4.207388226624e+03 
       2.181054818664e-01       3.986877763977e+03 
       2.253995893023e-01       3.782425420526e+03 
       2.329383133893e-01       3.608818795963e+03 
       2.407304846266e-01       3.468917862983e+03 
       2.487855770694e-01       3.351016216348e+03 
       2.571138295113e-01       3.235435595209e+03 
       2.657263857617e-01       3.107012351035e+03 
       2.746354574680e-01       2.962981542890e+03 
       2.838545139315e-01       2.814120385303e+03 
       2.933985046705e-01       2.677243699938e+03 
       3.032841222318e-01       2.560748004500e+03 
       3.135301150627e-01       2.459744706922e+03 
       3.241576633671e-01       2.362002260312e+03 
       3.351908350883e-01       2.257729927151e+03 
       3.466571449459e-01       2.149065037051e+03 
       3.585882475009e-01       2.045198224372e+03 
       3.710208065771e-01       1.952547573535e+03 
       3.839975996327e-01       1.867452497230e+03 
       3.975689393974e-01       1.782465013293e+03 
       4.117945303102e-01       1.695736104054e+03 
       4.267459306741e-01       1.611919773231e+03 
       4.425098741393e-01       1.533766964780e+03 
       4.591928354175e-01       1.458879541429e+03 
       4.769274392898e-01       1.383780613773e+03 
       4.958816720127e-01       1.309958216542e+03 
       5.162724804240e-01       1.239360560629e+03 
       5.383864755784e-01       1.169449850274e+03 
       5.626125930007e-01       1.099778029708e+03 
       5.894957944747e-01       1.031034394583e+03 
       6.198297704727e-01       9.616424660483e+02 
       6.548264182221e-01       8.912358598678e+02 
       6.964472715296e-01       8.183705909865e+02 
       7.481033660966e-01       7.414421988254e+02 
       8.162523316128e-01       6.576586048823e+02 
       9.141723075125e-01       5.632115493133e+02 
       1.068975860204e+00       4.555327784488e+02 
       1.315461124263e+00       3.452047291611e+02 
       1.653289598671e+00       2.559724069989e+02 
       2.081315325329e+00       1.909040417820e+02 
       2.620220555001e+00       1.436455345063e+02 
       3.298662241091e+00       1.091426467397e+02 
       4.152769720235e+00       8.380361023268e+01 
       5.228027330134e+00       6.507696353027e+01 
