# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.22803 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218102e-05       7.473319739321e+04 
       1.311872312412e-05       3.603756580226e+04 
       1.651549391125e-05       1.704775208102e+04 
       2.079177497321e-05       7.863653685106e+03 
       2.617529387008e-05       3.438581936631e+03 
       3.295274261422e-05       1.362023936971e+03 
       4.148504506535e-05       4.424906611335e+02 
       5.222657744220e-05       8.681880865342e+01 
       6.574936551302e-05       1.546995603267e-01 
       8.277354705369e-05       4.403188277007e+01 
       1.042057218102e-04       1.537359994034e+02 
       1.311872312412e-04       3.018002662818e+02 
       1.651549391125e-04       4.792112515421e+02 
       2.079177497321e-04       6.868016970970e+02 
       2.617529387008e-04       9.310368007539e+02 
       3.295274261422e-04       1.221801449730e+03 
       4.148504506535e-04       1.572012361199e+03 
       5.222657744220e-04       1.997496188469e+03 
       6.574936551302e-04       2.516985581813e+03 
       8.277354705369e-04       3.152343453209e+03 
       1.042057218102e-03       3.928555016161e+03 
       1.311872312412e-03       4.873230989866e+03 
       1.651549391125e-03       6.042144173979e+03 
       2.079177497321e-03       7.462521042162e+03 
       2.617529387008e-03       9.168294543849e+03 
       3.295274261422e-03       1.118735393713e+04 
       4.148504506535e-03       1.353230339689e+04 
       5.222657744220e-03       1.618844888926e+04 
       6.574936551302e-03       1.909848701162e+04 
       8.277354705369e-03       2.213994890579e+04 
       1.042057218102e-02       2.510597513066e+04 
       1.311872312412e-02       2.767470778077e+04 
       1.651549391123e-02       2.939812635165e+04 
       2.079177480902e-02       2.974676542352e+04 
       2.617516859043e-02       2.831718397764e+04 
       3.293536922905e-02       2.519682279896e+04 
       4.090589050134e-02       2.155528600778e+04 
       4.763401385629e-02       1.929949678449e+04 
       5.251198585856e-02       1.817077683544e+04 
       5.653323776304e-02       1.748209138193e+04 
       6.012300917384e-02       1.698085308660e+04 
       6.347073228663e-02       1.655757034028e+04 
       6.667661458478e-02       1.615197280545e+04 
       6.980071689587e-02       1.572988800009e+04 
       7.288247896440e-02       1.527171325464e+04 
       7.594968979709e-02       1.476801628760e+04 
       7.902307790138e-02       1.421835604865e+04 
       8.211886128206e-02       1.362928879438e+04 
       8.525025809218e-02       1.301496602591e+04 
       8.842842884228e-02       1.239210299413e+04 
       9.166308924276e-02       1.177794040152e+04 
       9.496292283059e-02       1.119375856737e+04 
       9.833586684249e-02       1.065552908701e+04 
       1.017893149813e-01       1.017608448593e+04 
       1.053302639979e-01       9.763284441594e+03 
       1.089654212480e-01       9.418877406176e+03 
       1.127012844925e-01       9.136512899242e+03 
       1.165442015434e-01       8.903851273545e+03 
       1.205004150311e-01       8.703086213350e+03 
       1.245760960540e-01       8.511930568458e+03 
       1.287773694786e-01       8.308309066766e+03 
       1.331103329953e-01       8.072838213068e+03 
       1.375810715977e-01       7.793868433960e+03 
       1.421956688589e-01       7.470156465355e+03 
       1.469602161865e-01       7.113310671210e+03 
       1.518808211126e-01       6.742593790262e+03 
       1.569636155974e-01       6.383541798990e+03 
       1.622147652718e-01       6.059014831657e+03 
       1.676404805174e-01       5.784796064426e+03 
       1.732470302593e-01       5.565847781819e+03 
       1.790407593351e-01       5.391018632461e+03 
       1.850281102957e-01       5.242543066607e+03 
       1.912156504883e-01       5.093769994577e+03 
       1.976101052732e-01       4.921912060151e+03 
       2.042183982440e-01       4.716411040628e+03 
       2.110476993484e-01       4.485280173500e+03 
       2.181054818664e-01       4.249043832526e+03 
       2.253995893023e-01       4.030075206970e+03 
       2.329383133893e-01       3.844098661702e+03 
       2.407304846266e-01       3.693777598825e+03 
       2.487855770694e-01       3.566699045665e+03 
       2.571138295113e-01       3.442387551492e+03 
       2.657263857617e-01       3.304360400311e+03 
       2.746354574680e-01       3.150087450993e+03 
       2.838545139315e-01       2.991174855173e+03 
       2.933985046705e-01       2.844481369246e+03 
       3.032841222318e-01       2.719575539401e+03 
       3.135301150627e-01       2.611125829398e+03 
       3.241576633671e-01       2.506135006061e+03 
       3.351908350883e-01       2.394453619403e+03 
       3.466571449459e-01       2.278404248020e+03 
       3.585882475009e-01       2.167346633160e+03 
       3.710208065771e-01       2.068171159856e+03 
       3.839975996327e-01       1.976977124982e+03 
       3.975689393974e-01       1.886000902335e+03 
       4.117945303102e-01       1.793351677193e+03 
       4.267459306741e-01       1.703795135376e+03 
       4.425098741393e-01       1.620180095420e+03 
       4.591928354175e-01       1.540141201785e+03 
       4.769274392898e-01       1.459955612651e+03 
       4.958816720127e-01       1.381093518760e+03 
       5.162724804240e-01       1.305753393889e+03 
       5.383864755784e-01       1.231131960209e+03 
       5.626125930007e-01       1.156847361263e+03 
       5.894957944747e-01       1.083490983086e+03 
       6.198297704727e-01       1.009518549885e+03 
       6.548264182221e-01       9.344933265190e+02 
       6.964472715296e-01       8.568937492371e+02 
       7.481033660966e-01       7.750125969111e+02 
       8.162523316128e-01       6.859032997549e+02 
       9.141723075125e-01       5.855498567039e+02 
       1.068975860204e+00       4.712937504458e+02 
       1.315461124263e+00       3.544530281730e+02 
       1.653289598671e+00       2.601903514500e+02 
       2.081315325329e+00       1.916472112468e+02 
       2.620220555001e+00       1.420128125781e+02 
       3.298662241091e+00       1.058864364827e+02 
       4.152769720235e+00       7.943684838531e+01 
       5.228027330134e+00       5.994998123081e+01 
