z,eta_x_qs,eta_x_dyn
4.978423210192972,-5.572977100449165e-11,-2.6246726974670193e-08
4.9386667278379175,-7.046049956957433e-11,-7.591344574285811e-08
4.899174327682627,-8.865400500493292e-11,-6.288615844848512e-11
4.859944536924488,-1.1102260709031311e-10,-7.924963382769357e-11
4.820976109076684,-1.3840851388146422e-10,-9.940474198288919e-11
4.782266527713185,-1.7176241074092658e-10,-1.2411392825691143e-10
4.743814075269703,-2.1220121459469782e-10,-1.54267668002997e-10
4.705617747217964,-2.610419084941377e-10,-1.9090024757309415e-10
4.667675468215618,-3.197582433657738e-10,-2.352100015224297e-10
4.629985220276833,-3.9002750643767635e-10,-2.885706025766879e-10
4.592545426263781,-4.737754793101928e-10,-3.5256049094957355e-10
4.555355240734393,-5.732406419273447e-10,-4.289739977872391e-10
4.51841208947884,-6.90814568426775e-10,-5.198481097796494e-10
4.481714333314077,-8.292367292360246e-10,-6.274812403586492e-10
4.445260846494973,-9.91622814951748e-10,-7.544557962507767e-10
4.409049983544661,-1.1813820361954563e-09,-9.036597726475503e-10
4.37307965046336,-1.402203906116324e-09,-1.0783051216172191e-09
4.33734825122328,-1.658197512699294e-09,-1.2819473009732376e-09
4.301855088864739,-1.9540384094819187e-09,-1.5185049254748302e-09
4.266597760452206,-2.2944778518789952e-09,-1.7922726741675722e-09
4.231574628762857,-2.6847778830297942e-09,-2.1079309517319674e-09
4.196784460001181,-3.130702515688328e-09,-2.4705567078706744e-09
4.162226003621888,-3.638434628269806e-09,-2.885626659119348e-09
4.1278971007627,-4.214233410554746e-09,-3.359010602734144e-09
4.093796228230711,-4.864872946620897e-09,-3.896960044823866e-09
4.059922565619138,-5.5977561276937926e-09,-4.5060962219416755e-09
4.02627413112286,-6.420091762098115e-09,-5.193382448395279e-09
3.992849206008561,-7.339363742658571e-09,-5.9660800571853765e-09
3.959646460647048,-8.363389023341384e-09,-6.831697275016852e-09
3.926665006784875,-9.500360062152065e-09,-7.797969159469137e-09
3.893902630988735,-1.0757637190862307e-08,-8.872711734051573e-09
3.8613578795767856,-1.2142862233401956e-08,-1.0063849150618676e-08
3.8290298214238594,-1.3663836915087076e-08,-1.1379125534052625e-08
3.796916862402356,-1.532751767932643e-08,-1.282622209029412e-08
3.76501721312784,-1.7140130266513658e-08,-1.4412490833516425e-08
3.733329459463669,-1.9107509880282842e-08,-1.6144881322672577e-08
3.7018530449660703,-2.1235502599070907e-08,-1.802923052439973e-08
3.670585711117426,-2.352737467660941e-08,-2.00726211513908e-08
3.639526070574824,-2.5986036186678306e-08,-2.227845446176479e-08
3.608673093318296,-2.8613498248622152e-08,-2.465088117128144e-08
3.5780255416220466,-3.14101563436286e-08,-2.719246059891503e-08
3.547581565488049,-3.437419417890095e-08,-2.990447644201333e-08
3.517339814098375,-3.7502684430605385e-08,-3.2786639258210915e-08
3.487299622361513,-4.0791737113214064e-08,-3.583719136017852e-08
3.4574591074133965,-4.4234369059503786e-08,-3.905270284514503e-08
3.427816807888069,-4.782229788488016e-08,-4.242800530927009e-08
3.398371605845324,-5.1545860106022425e-08,-4.595614074936653e-08
3.369122590733526,-5.5393873036606026e-08,-4.96285134523081e-08
3.340067861209133,-5.9352594706831854e-08,-5.343469463192498e-08
3.3112061280989367,-6.340745993314813e-08,-5.7362641156725014e-08
3.2825366252676456,-6.754299046120809e-08,-6.139879732384945e-08
3.2540578193843195,-7.174193255771165e-08,-6.552817405900078e-08
3.225768183554321,-7.598620764235069e-08,-6.973471155667948e-08
3.197666522095678,-8.025729888932682e-08,-7.400081467768385e-08
3.1697522243294984,-8.453641148691831e-08,-7.830879479986525e-08
3.142023346114698,-8.880395640823362e-08,-8.264000487486529e-08
3.114478657109623,-9.304073950584553e-08,-8.69752138217344e-08
3.0871173007512382,-9.722780448398948e-08,-9.129556558772353e-08
3.059938065243616,-1.0134652547117833e-07,-9.558208577513357e-08
3.0329393671963425,-1.053790026137174e-07,-9.981580490767459e-08
3.006120008659338,-1.0930819929463877e-07,-1.0397881437764678e-07
2.979479455211748,-1.1311778306857833e-07,-1.080538336053571e-07
2.953015925913844,-1.1679294948687503e-07,-1.1202413928164707e-07
2.9267281805292287,-1.203200415806102e-07,-1.158741253440839e-07
2.9006152819242352,-1.236865650870459e-07,-1.195908914054823e-07
2.874676313668101,-1.2688137523700018e-07,-1.2316009290052958e-07
2.848909644219177,-1.298953448167381e-07,-1.2657040904773118e-07
2.8233141302959592,-1.327205729325835e-07,-1.2981182541811502e-07
2.797889145336593,-1.3535023991578433e-07,-1.328755928293196e-07
